Reference,Pin,Function,Net
J1,A1,,GND
J1,A12,,GND
J1,B1,,GND
J1,B12,,GND
J1,SH,,GND
J1,A4,,VBUS
J1,A9,,VBUS
J1,B4,,VBUS
J1,B9,,VBUS
J1,A5,,CC1
J1,B5,,CC2
J1,A6,,NO CONNECT
J1,A7,,NO CONNECT
J1,A8,,NO CONNECT
J1,B6,,NO CONNECT
J1,B7,,NO CONNECT
J1,B8,,NO CONNECT
U1,1,VBUS_MIN,GND
U1,2,VBUS_MAX,GND
U1,3,VBUS_FET_EN,PD_GATE_DRV
U1,4,SAFE_PWR_EN,NO CONNECT
U1,5,ISNK_COARSE,PD_3V3
U1,6,ISNK_FINE,GND
U1,7,HPI_INT,NO CONNECT
U1,8,GPIO_1,NO CONNECT
U1,9,FAULT,PD_FAULT
U1,10,FLIP,PD_FLIP
U1,11,VDC_OUT,PD_5V
U1,12,HPI_SDA,NO CONNECT
U1,13,HPI_SCL,NO CONNECT
U1,14,CC2,CC2
U1,15,CC1,CC1
U1,16,D-,NO CONNECT
U1,17,D+,NO CONNECT
U1,18,VBUS_IN,VBUS
U1,19,GND,GND
U1,20,DNU1,NO CONNECT
U1,21,DNU2,NO CONNECT
U1,22,VSS,GND
U1,23,VDDD,PD_3V3
U1,24,VCCD,PD_1V8
U1,25,EP,GND
Q1,1,S,PFET_SOURCE
Q1,2,S,PFET_SOURCE
Q1,3,S,PFET_SOURCE
Q1,4,G,PFET_GATE
Q1,5,D,VBUS
Q1,6,D,VBUS
Q1,7,D,VBUS
Q1,8,D,VBUS
Q2,1,S,PFET_SOURCE
Q2,2,S,PFET_SOURCE
Q2,3,S,PFET_SOURCE
Q2,4,G,PFET_GATE
Q2,5,D,PD_5V
Q2,6,D,PD_5V
Q2,7,D,PD_5V
Q2,8,D,PD_5V
R1,1,,PD_GATE_DRV
R1,2,,PFET_GATE
R2,1,,PFET_SOURCE
R2,2,,PFET_GATE
R3,1,,PD_3V3
R3,2,,PD_FLIP
R4,1,,VBUS
R4,2,,GND
D1,1,K,PFET_SOURCE
D1,2,A,PFET_GATE
D2,1,K,VBUS
D2,2,A,GND
C1,1,,VBUS
C1,2,,GND
C2,1,,PD_3V3
C2,2,,GND
C3,1,,PD_3V3
C3,2,,GND
C4,1,,PD_3V3
C4,2,,GND
C5,1,,PD_1V8
C5,2,,GND
C6,1,,PD_5V
C6,2,,GND
TP1,1,,VBUS
TP2,1,,PD_5V
TP3,1,,PD_FAULT
TP4,1,,GND
TP5,1,,PD_3V3
TP6,1,,PD_1V8
U2,1,EN_UVLO,PI_EN_UVLO
U2,2,OVLO,PI_OV
U2,3,AUXOFF,NO CONNECT
U2,4,FAULT_N,PI_FAULT_N
U2,5,IN,PD_5V
U2,6,OUT,PI_5V
U2,7,DVDT,PI_DVDT
U2,8,GND,GND
U2,9,ILM,PI_ILM
U2,10,ITIMER,NO CONNECT
U3,1,EN_UVLO,SERVO_EN
U3,2,OVLO,SERVO_OV
U3,3,AUXOFF,NO CONNECT
U3,4,FAULT_N,SERVO_FAULT_N
U3,5,IN,PD_5V
U3,6,OUT,SERVO_5V
U3,7,DVDT,SERVO_DVDT
U3,8,GND,GND
U3,9,ILM,SERVO_ILM
U3,10,ITIMER,NO CONNECT
R101,1,,PI_ILM
R101,2,,GND
R102,1,,SERVO_ILM
R102,2,,GND
R103,1,,PD_5V
R103,2,,PI_OV
R104,1,,PI_OV
R104,2,,GND
R105,1,,PD_5V
R105,2,,SERVO_OV
R106,1,,SERVO_OV
R106,2,,GND
C101,1,,PI_DVDT
C101,2,,GND
C102,1,,SERVO_DVDT
C102,2,,GND
C103,1,,PD_5V
C103,2,,GND
C104,1,,PD_5V
C104,2,,GND
C105,1,,PI_5V
C105,2,,GND
C106,1,,SERVO_5V
C106,2,,GND
C107,1,,PI_5V
C107,2,,GND
C108,1,,SERVO_5V
C108,2,,GND
U4,1,OUT,SUPPLY_OK
U4,2,GND,GND
U4,3,IN+,UV_SENSE
U4,4,IN-,UV_REF
U4,5,REF,UV_REF
U4,6,VCC,PI_3V3
R107,1,,PI_5V
R107,2,,UV_SENSE
R108,1,,UV_SENSE
R108,2,,GND
R109,1,,SUPPLY_OK
R109,2,,UV_SENSE
C109,1,,PI_3V3
C109,2,,GND
U5,1,A,SUPPLY_OK
U5,2,B,SERVO_REQUEST
U5,3,GND,GND
U5,4,Y,SERVO_EN
U5,5,VCC,PI_3V3
R110,1,,SERVO_EN
R110,2,,GND
R111,1,,SERVO_REQUEST
R111,2,,GND
R112,1,,PI_3V3
R112,2,,SERVO_FAULT_N
R113,1,,PI_3V3
R113,2,,PI_FAULT_N
C110,1,,PI_3V3
C110,2,,GND
C111,1,,UV_REF
C111,2,,GND
TP101,1,,PI_5V
TP102,1,,SERVO_5V
TP103,1,,SUPPLY_OK
TP104,1,,SERVO_ILM
TP105,1,,PI_FAULT_N
TP106,1,,GND
J2,1,,PI_3V3
J2,2,,PI_5V
J2,4,,PI_5V
J2,11,,AMP_ENABLE
J2,12,,BCLK_PI
J2,13,,SERVO_FAULT_N
J2,15,,SERVO_REQUEST
J2,16,,BUTTON_N
J2,18,,LED_GPIO
J2,22,,SUPPLY_OK
J2,32,,JAW_PWM
J2,35,,LRCLK_PI
J2,38,,MIC_DATA_PI
J2,40,,AMP_DATA_PI
J2,6,,GND
J2,9,,GND
J2,14,,GND
J2,20,,GND
J2,25,,GND
J2,30,,GND
J2,34,,GND
J2,39,,GND
J2,3,,NO CONNECT
J2,5,,NO CONNECT
J2,7,,NO CONNECT
J2,8,,NO CONNECT
J2,10,,NO CONNECT
J2,17,,NO CONNECT
J2,19,,NO CONNECT
J2,21,,NO CONNECT
J2,23,,NO CONNECT
J2,24,,NO CONNECT
J2,26,,NO CONNECT
J2,27,,NO CONNECT
J2,28,,NO CONNECT
J2,29,,NO CONNECT
J2,31,,NO CONNECT
J2,33,,NO CONNECT
J2,36,,NO CONNECT
J2,37,,NO CONNECT
R201,1,,BCLK_PI
R201,2,,BCLK
R202,1,,LRCLK_PI
R202,2,,LRCLK
R203,1,,AMP_DATA_PI
R203,2,,AMP_DATA
TP201,1,,PI_3V3
TP202,1,,BCLK
TP203,1,,LRCLK
TP204,1,,MIC_DATA_PI
TP205,1,,GND
U6,1,WS,LRCLK
U6,2,LR,GND
U6,3,GND,GND
U6,4,SCK,BCLK
U6,5,VDD,MIC_3V3
U6,6,SD,MIC_DATA
R301,1,,PI_3V3
R301,2,,MIC_3V3
C301,1,,MIC_3V3
C301,2,,GND
C302,1,,MIC_3V3
C302,2,,GND
R302,1,,MIC_DATA
R302,2,,MIC_DATA_PI
R303,1,,MIC_DATA_PI
R303,2,,GND
U7,1,DIN,AMP_DATA
U7,2,GAIN_SLOT,AMP_GAIN
U7,3,GND,GND
U7,4,SD_MODE,AMP_SD
U7,5,NC,NO CONNECT
U7,6,NC,NO CONNECT
U7,7,VDD,PI_5V
U7,8,VDD,PI_5V
U7,9,OUTP,AMP_P
U7,10,OUTN,AMP_N
U7,11,GND,GND
U7,12,NC,NO CONNECT
U7,13,NC,NO CONNECT
U7,14,LRCLK,LRCLK
U7,15,GND,GND
U7,16,BCLK,BCLK
U7,17,EP,GND
R304,1,,AMP_GAIN
R304,2,,PI_5V
R305,1,,AMP_ENABLE
R305,2,,AMP_SD
R306,1,,AMP_SD
R306,2,,GND
C303,1,,PI_5V
C303,2,,GND
C304,1,,PI_5V
C304,2,,GND
C305,1,,PI_5V
C305,2,,GND
L1,1,,AMP_P
L1,2,,SPK_P
L2,1,,AMP_N
L2,2,,SPK_N
C306,1,,SPK_P
C306,2,,SPK_N
C307,1,,SPK_P
C307,2,,GND
C308,1,,SPK_N
C308,2,,GND
J3,1,,SPK_P
J3,2,,SPK_N
TP301,1,,MIC_3V3
TP302,1,,PI_5V
TP303,1,,GND
U8,1,NC,NO CONNECT
U8,2,A,JAW_PWM
U8,3,GND,GND
U8,4,Y,JAW_OD
U8,5,VCC,PI_3V3
R401,1,,JAW_PWM
R401,2,,GND
R402,1,,SERVO_5V
R402,2,,JAW_OD
R403,1,,JAW_OD
R403,2,,JAW_SIG
C401,1,,PI_3V3
C401,2,,GND
J4,1,,GND
J4,2,,SERVO_5V
J4,3,,JAW_SIG
U9,1,K,REGEN_K
U9,2,REF,REGEN_REF
U9,3,A,GND
R404,1,,SERVO_5V
R404,2,,REGEN_REF
R405,1,,REGEN_REF
R405,2,,GND
R406,1,,SERVO_5V
R406,2,,REGEN_K
R407,1,,REGEN_K
R407,2,,REGEN_GATE
Q3,1,G,REGEN_GATE
Q3,2,S,SERVO_5V
Q3,3,D,DUMP
R408,1,,DUMP
R408,2,,GND
SW1,1,,BUTTON_SWITCH
